"_id","customer___id","customer__title","customer__Fname","customer__Lname","customer__phoneNumber","customer__email","customer__adaressLine1","customer__addressLine2","customer__town","customer__county","customer__eircode","product___id","product__manufactor","product__model","product__price","__v"
"ObjectId(""608630ade37c34510ce1665e"")","ObjectId(""608630ade37c34510ce1665f"")","Mr","Lucy","Star","87164324823.0","Lstar@hotmail.com","14 Monktown","Blackrock","Dublin","Dublin","D010 4210","ObjectId(""608630ade37c34510ce16660"")","Apple","Samsung s20 Ultra","1250","0"
"ObjectId(""608630c646c0a7799c6b1172"")","ObjectId(""608630c646c0a7799c6b1173"")","Mr","Tom","Brady","871663292823.0","bradylad@hotmail.com","","Maynooth","Kildare","Kildare","D420 1210","","","","","0"
"ObjectId(""608630c646c0a7799c6b1174"")","ObjectId(""608630c646c0a7799c6b1175"")","Mr","Lucy","Star","87164324823.0","Lstar@hotmail.com","14 Monktown","Blackrock","Dublin","Dublin","D010 4210","ObjectId(""608630c646c0a7799c6b1176"")","Apple","Samsung s20 Ultra","1250","0"
"ObjectId(""608634b102510f40c4873628"")","ObjectId(""608634b102510f40c4873629"")","Mr","Tom","Brady","871663292823.0","bradylad@hotmail.com","","Maynooth","Kildare","Kildare","D420 1210","","","","","0"
"ObjectId(""608634b102510f40c487362a"")","ObjectId(""608634b102510f40c487362b"")","Mr","Lucy","Star","87164324823.0","Lstar@hotmail.com","14 Monktown","Blackrock","Dublin","Dublin","D010 4210","ObjectId(""608634b102510f40c487362c"")","Apple","Samsung s20 Ultra","1250","0"
"ObjectId(""6086356a2fa4c973fcaad15b"")","ObjectId(""6086356a2fa4c973fcaad15c"")","Mr","Tom","Brady","871663292823.0","bradylad@hotmail.com","","Maynooth","Kildare","Kildare","D420 1210","","","","","0"
"ObjectId(""6086356a2fa4c973fcaad15d"")","ObjectId(""6086356a2fa4c973fcaad15e"")","Mr","Lucy","Star","87164324823.0","Lstar@hotmail.com","14 Monktown","Blackrock","Dublin","Dublin","D010 4210","ObjectId(""6086356a2fa4c973fcaad15f"")","Apple","Samsung s20 Ultra","1250","0"
"ObjectId(""6086358a5290d165942a6e03"")","ObjectId(""6086358a5290d165942a6e04"")","Mr","Tom","Brady","871663292823.0","bradylad@hotmail.com","","Maynooth","Kildare","Kildare","D420 1210","","","","","0"
"ObjectId(""6086358a5290d165942a6e05"")","ObjectId(""6086358a5290d165942a6e06"")","Mr","Lucy","Star","87164324823.0","Lstar@hotmail.com","14 Monktown","Blackrock","Dublin","Dublin","D010 4210","ObjectId(""6086358a5290d165942a6e07"")","Apple","Samsung s20 Ultra","1250","0"
"ObjectId(""6086388531704e7024d37c82"")","ObjectId(""6086388531704e7024d37c83"")","Mr","Tom","Brady","871663292823.0","bradylad@hotmail.com","","Maynooth","Kildare","Kildare","D420 1210","","","","","0"
"ObjectId(""6086388531704e7024d37c84"")","ObjectId(""6086388531704e7024d37c85"")","Mr","Lucy","Star","87164324823.0","Lstar@hotmail.com","14 Monktown","Blackrock","Dublin","Dublin","D010 4210","ObjectId(""6086388531704e7024d37c86"")","Apple","Samsung s20 Ultra","1250","0"
"ObjectId(""60863a6c6eb28065dc6c11af"")","ObjectId(""60863a6c6eb28065dc6c11b0"")","Mr","Tom","Brady","871663292823.0","bradylad@hotmail.com","","Maynooth","Kildare","Kildare","D420 1210","","","","","0"
"ObjectId(""60863a6c6eb28065dc6c11b1"")","ObjectId(""60863a6c6eb28065dc6c11b2"")","Mr","Lucy","Star","87164324823.0","Lstar@hotmail.com","14 Monktown","Blackrock","Dublin","Dublin","D010 4210","ObjectId(""60863a6c6eb28065dc6c11b3"")","Apple","Samsung s20 Ultra","1250","0"
"ObjectId(""60863bd8f74dee67a4a47933"")","ObjectId(""60863bd8f74dee67a4a47934"")","Mr","Tom","Brady","871663292823.0","bradylad@hotmail.com","","Maynooth","Kildare","Kildare","D420 1210","","","","","0"
"ObjectId(""60863bd8f74dee67a4a47935"")","ObjectId(""60863bd8f74dee67a4a47936"")","Mr","Lucy","Star","87164324823.0","Lstar@hotmail.com","14 Monktown","Blackrock","Dublin","Dublin","D010 4210","ObjectId(""60863bd8f74dee67a4a47937"")","Apple","Samsung s20 Ultra","1250","0"
"ObjectId(""60863cebee18ad6d7429fb48"")","ObjectId(""60863cebee18ad6d7429fb49"")","Mr","Tom","Brady","871663292823.0","bradylad@hotmail.com","","Maynooth","Kildare","Kildare","D420 1210","","","","","0"
"ObjectId(""60863cebee18ad6d7429fb4a"")","ObjectId(""60863cebee18ad6d7429fb4b"")","Mr","Lucy","Star","87164324823.0","Lstar@hotmail.com","14 Monktown","Blackrock","Dublin","Dublin","D010 4210","ObjectId(""60863cebee18ad6d7429fb4c"")","One Plus","One plus 9 Pro ","1400","0"
"ObjectId(""60863e7aa133071a046ddcd7"")","ObjectId(""60863e7aa133071a046ddcd8"")","Mr","Tom","Brady","871663292823.0","bradylad@hotmail.com","","Maynooth","Kildare","Kildare","D420 1210","","","","","0"
"ObjectId(""60863e7aa133071a046ddcd9"")","ObjectId(""60863e7aa133071a046ddcda"")","Mr","Lucy","Star","87164324823.0","Lstar@hotmail.com","14 Monktown","Blackrock","Dublin","Dublin","D010 4210","ObjectId(""60863e7aa133071a046ddcdb"")","One Plus","One plus 9 Pro ","1400","0"
"ObjectId(""60863ebc5229e70e58b9380d"")","ObjectId(""60863ebc5229e70e58b9380e"")","Mr","Tom","Brady","871663292823.0","bradylad@hotmail.com","","Maynooth","Kildare","Kildare","D420 1210","","","","","0"
"ObjectId(""60863ebc5229e70e58b9380f"")","ObjectId(""60863ebc5229e70e58b93810"")","Mr","Lucy","Star","87164324823.0","Lstar@hotmail.com","14 Monktown","Blackrock","Dublin","Dublin","D010 4210","ObjectId(""60863ebc5229e70e58b93811"")","One Plus","One plus 9 Pro ","1400","0"
